name,tier,activation,ranked,description,source
All-Terrain Driver,1,Passive,No,Do not suffer usual penalties for driving through difficult terrain when using Driving.,ACRB; ETU; ND
Apothecary,1,Passive,Yes,When a patient under your character's care heals wounds from natural rest they heal additional wounds equal to twice your character's ranks in Apothecary.,ROT
Armor Master,1,Passive,No,When wearing armor increase total soak value by 1.,ACRB; EBGR; ECRB; KTP
Black Market Contacts,1,Active (Incidental),Yes,When purchasing illegal goods may reduce rarity by 1 per rank of Black-Market Contacts increasing cost by 50 percent of base cost per reduction.,ECRB
Basic Combat Training,1,Passive,No,Character gains Brawl Ranged (Heavy) or Ranged (Light) as a career skill.,EOTI
Bought Info,1,Active (Action),No,Spend currency equal to fifty times difficulty to automatically succeed on knowledge check with one uncanceled success instead of rolling.,GCRB
Brace,1,Active (Maneuver),Yes,Remove setback per rank from next skill check based on changing conditions inclement weather unstable surfaces zero gravity heavy gravity or other disruptive physical obstacles.,ACRB; ECRB
Bullrush,1,Active (Incidental),No,After using maneuver to engage target spend advantages or triumph to knock target prone and move them one range band away.,ROT
Call 'Em,1,Passive,No,Do not add setback to combat checks due to use of Aim maneuver.,FC
Challenge!,1,Active (Maneuver),Yes,Once per encounter choose adversaries within short range no greater than character's ranks. Until encounter ends they add setback targeting you and two setbacks targeting others.,ROT
Clever Retort,1,Active (Incidental; Out of Turn),No,Once per encounter add automatic help to another character's social skill check.,GCRB
Component Casting,1,Active (Incidental),No,When casting spell consume physical item and add setback to check. Item must be thematically appropriate and subject to GM's approval.,GEPG
Construction Specialist,1,Passive,Yes,Remove one setback per rank from checks to construct bases defense works positions fortifications tunnels bunkers and similar projects.,FO
Cosmopolitan Upbringing,1,Passive,No,Character gains Streetwise or Knowledge (Culture) as career skill. Spend advantages to heal 3 strain when using these skills to resolve conflicts between different species.,EOTI
Corporate Drone,1,Passive,No,Character gains Knowledge (Society) or Negotiation as career skill. Once per session collect small favor from corporation member even if they don't owe favor.,SOTB
Creative Design,1,Passive,Yes,As part of successful crafting check apply advantages equal to ranks in Creative Design. GM may apply equivalent help.,FO
Custom Code,1,Passive,No,Choose icebreaker or piece of ice owned. Add success to results when using chosen icebreaker or add help when others attempt to override it.,SOTB
Custom Rig,1,Passive,Yes,Increase ice or icebreakers on chosen computer by 1 per rank of Custom Rig.,SOTB
Customer Service Experience,1,Active (Incidental),Yes,After Charm check suffer 1 strain to cancel help equal to ranks in Customer Service Experience.,SOTB
Dark Insight,1,Active (Incidental),No,When spell adds quality with rating from Knowledge (Lore) may use Knowledge (Forbidden) instead.,ROT
Data Miner,1,Active (Incidental),No,Once per session before knowledge skill check use Computers skill instead.,EOTI
Deep Pockets,1,Active (Maneuver),No,Once per session produce small but narratively useful item from pockets or backpack. Generally less than 100 credits and encumbrance 0-1.,SOTB
Defensive Sysops,1,Passive,No,When defending computer system add two setbacks to opponent's checks. Automatically aware of intrusion if have access.,GCRB
Desperate Recovery,1,Passive,No,Before healing strain at end of encounter if strain exceeds half threshold heal two additional strain.,GCRB
Diplomatic Instruction,1,Passive,No,Character gains Leadership or Negotiation as career skill. Spend advantages to heal 3 strain when convincing allies.,EOTI
Disenfrancisto,1,Passive,No,Character gains Streetwise or Survival as career skill. Once per session collect small favor from another Disenfrancisto.,SOTB
Duelist,1,Passive,No,Add setback to melee checks while engaged with single opponent. Add setback to melee checks while engaged with three or more opponents.,GCRB
Dungeoneer,1,Passive,Yes,After Perception Vigilance or Knowledge (Adventuring) check cancel uncanceled help no greater than ranks in caverns subterranean ruins or similar.,ROT
Durable,1,Passive,Yes,Reduce Critical Injury result by 10 per rank to minimum 01.,GCRB
Elementalist,1,Passive,No,Choose one attack spell effect element (Fire Ice Impact Lightning). Always add chosen effect without increasing difficulty. Never add other three effects.,GEPG
Emergency Thruster Burn,1,Active (Incidental),No,Once per round increase or decrease starship speed by 1. Starship suffers 2 system strain.,EOTI
